Country.Name,E2010,E2011,E2012,E2013,E2014,E2015,E2016,E2017
East Asia & Pacific (excluding high income),1.72E+13,1.90E+13,2.08E+13,2.26E+13,2.46E+13,2.64E+13,2.84E+13,3.08E+13
Early-demographic dividend,2.01E+13,2.16E+13,2.29E+13,2.44E+13,2.60E+13,2.76E+13,2.94E+13,3.15E+13
East Asia & Pacific,2.58E+13,2.80E+13,3.01E+13,3.25E+13,3.46E+13,3.68E+13,3.91E+13,4.19E+13
Europe & Central Asia (excluding high income),6.07E+12,6.93E+12,7.34E+12,7.68E+12,7.91E+12,7.87E+12,8.05E+12,8.64E+12
Europe & Central Asia,2.31E+13,2.48E+13,2.55E+13,2.65E+13,2.74E+13,2.79E+13,2.89E+13,3.07E+13
Ecuador,1.37E+11,1.51E+11,1.62E+11,1.73E+11,1.83E+11,1.85E+11,1.85E+11,1.93E+11
"Egypt, Arab Rep.",8.12E+11,8.44E+11,8.79E+11,9.14E+11,9.59E+11,1.01E+12,1.07E+12,1.13E+12
Euro area,1.20E+13,1.26E+13,1.27E+13,1.32E+13,1.35E+13,1.40E+13,1.46E+13,1.54E+13
Spain,1.49E+12,1.50E+12,1.50E+12,1.52E+12,1.57E+12,1.63E+12,1.71E+12,1.82E+12
Estonia,28735483600,32579424941,34419815454,36239295476,38074717114,38426917438,40654683249,44063633073
Ethiopia,92250410884,1.05E+11,1.16E+11,1.30E+11,1.47E+11,1.64E+11,1.81E+11,2.02E+11
European Union,1.68E+13,1.75E+13,1.78E+13,1.85E+13,1.91E+13,1.97E+13,2.06E+13,2.18E+13
Fragile and conflict affected situations,1.63E+12,1.58E+12,1.81E+12,1.92E+12,1.98E+12,2.04E+12,2.18E+12,2.28E+12
Finland,2.08E+11,2.19E+11,2.20E+11,2.25E+11,2.26E+11,2.31E+11,2.40E+11,2.55E+11
Fiji,6193061294,6493459112,6711394505,7152481965,7696172032,8141243318,8447984356,9054463164
France,2.33E+12,2.45E+12,2.47E+12,2.61E+12,2.66E+12,2.72E+12,2.81E+12,2.96E+12
"Micronesia, Fed. Sts.",334698491.4,353126615.3,352738933.4,345079831.1,344027482.8,364853450.7,371425127.5,390596546.3
Gabon,24671359664,26972900730,28933731798,31101611666,33057433458,34706906742,35820248114,36676229905
United Kingdom,2.26E+12,2.33E+12,2.41E+12,2.53E+12,2.64E+12,2.74E+12,2.82E+12,2.97E+12
Georgia,25895781909,28345876392,30724221719,32322225839,34456455395,35828053480,37250877581,39793370089
Ghana,73457473695,85526138706,95266590976,1.04E+11,1.09E+11,1.13E+11,1.18E+11,1.30E+11
Guinea,16637568968,17938333959,19364115466,20479246837,21640314431,22706118614,25440105141,29387093923
"Gambia, The",2725372663,2662799770,2865838394,3055782700,3084319663,3300232551,3349853438,3569106096
Guinea-Bissau,2134215532,2354948198,2359006229,2478559683,2549810850,2735157083,2938237476,3171312122
Equatorial Guinea,31418133531,34166939303,37716935268,36792562242,37644240225,34580707929,31876738090,30960609959
Greece,3.13E+11,2.90E+11,2.79E+11,2.86E+11,2.92E+11,2.91E+11,2.94E+11,3.07E+11
Grenada,1146146724,1179039533,1187770926,1237034912,1353005819,1455582394,1526469103,1634179176
Guatemala,96219404214,1.02E+11,1.07E+11,1.13E+11,1.20E+11,1.27E+11,1.32E+11,1.38E+11
Guyana,4276422568,4592610458,4927657315,5264868556,5570841385,5808469323,6066709212,6310620920
High income,4.53E+13,4.73E+13,4.90E+13,5.10E+13,5.28E+13,5.46E+13,5.63E+13,5.89E+13
"Hong Kong SAR, China",3.31E+11,3.54E+11,3.67E+11,3.85E+11,4.03E+11,4.17E+11,4.31E+11,4.56E+11
Honduras,31877081471,33791210423,35861164937,37509152230,39387545839,41337420468,43416307561,46359852557
Heavily indebted poor countries (HIPC),1.14E+12,1.22E+12,1.31E+12,1.42E+12,1.52E+12,1.62E+12,1.71E+12,1.84E+12
Croatia,84966348993,88859537138,90286946692,92804341770,93571465315,96717400686,1.02E+11,1.08E+11
Haiti,14712423412,15849403538,16619411332,17627091615,18465295865,18888799730,19372753030,19972602911
Hungary,2.15E+11,2.28E+11,2.29E+11,2.42E+11,2.52E+11,2.59E+11,2.64E+11,2.82E+11
IBRD only,4.12E+13,4.50E+13,4.83E+13,5.16E+13,5.49E+13,5.76E+13,6.11E+13,6.56E+13
IDA & IBRD total,4.51E+13,4.92E+13,5.27E+13,5.64E+13,6.00E+13,6.31E+13,6.68E+13,7.16E+13
IDA total,3.96E+12,4.22E+12,4.51E+12,4.86E+12,5.23E+12,5.51E+12,5.77E+12,6.15E+12
IDA blend,1.91E+12,2.04E+12,2.17E+12,2.34E+12,2.52E+12,2.65E+12,2.74E+12,2.88E+12
Indonesia,2.00E+12,2.17E+12,2.35E+12,2.52E+12,2.70E+12,2.86E+12,3.04E+12,3.25E+12
IDA only,2.04E+12,2.16E+12,2.32E+12,2.50E+12,2.70E+12,2.85E+12,3.01E+12,3.25E+12
India,5.38E+12,5.78E+12,6.21E+12,6.73E+12,7.36E+12,8.04E+12,8.79E+12,9.60E+12
Ireland,1.97E+11,2.05E+11,2.13E+11,2.21E+11,2.38E+11,3.25E+11,3.35E+11,3.73E+11
"Iran, Islamic Rep.",1.31E+12,1.37E+12,1.30E+12,1.32E+12,1.40E+12,1.40E+12,1.60E+12,1.70E+12
Iraq,3.83E+11,4.21E+11,4.89E+11,5.35E+11,5.49E+11,5.68E+11,6.53E+11,6.54E+11
Iceland,12587099510,13005319158,13446448680,14296625815,14966416225,16119986191,17638152067,18997605752
Israel,2.20E+11,2.37E+11,2.51E+11,2.75E+11,2.81E+11,2.98E+11,3.21E+11,3.39E+11
