Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,10/28/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Bahamas, The",BHS,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5155296043,5106761671,5023324585,5158169673,5434210961,5791097245,6146201272,6381120871,6757293538,7344574321,7820317118,8201690665,8556750414,8605428686,8915122573,9504952548,10039056626,10457854116,10413508690,10054790337,10328477564,10608854836,11146059011,11295113525,11491773078,11736027885,11663909983,12056433993,,
Bosnia and Herzegovina,BIH,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3751129100,4626379030,8901964625,12169606680,14226403824,15817258392,17060245929,17842878263,19310167689,20214692237,23340339277,24398065392,27888038434,30811911213,33896807462,33737254855,34637208991,36525637927,37145690831,39027401491,39811454001,41200284473,43425610368,46033486454,47691700462,
Belarus,BLR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55319352229,56503838684,52243523689,49416737947,44566749718,40769110154,42678044012,48363176502,53015740910,55609743795,60150354695,64374339606,68691820128,74895437858,85717983365,96696527088,1.09585E+11,1.22206E+11,1.37291E+11,1.38614E+11,1.51165E+11,1.62623E+11,1.68538E+11,1.73217E+11,1.79541E+11,1.74512E+11,1.71963E+11,1.79669E+11,1.89324E+11,
Belize,BLZ,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,622635380.3,717484402.8,822331671.7,894644730.6,915195826.6,940405611.5,971301623,1023073808,1073289020,1184369652,1368492955,1468653274,1568266628,1746394672,1876770645,1985121393,2138897901,2220637256,2336927431,2370538647,2479302473,2585830300,2712846399,2783971836,2941380900,3074860513,3090206268,3194203642,3365851350,
Bermuda,BMU,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1561225624,1556976718,1591507501,1678230800,1724345157,1837948841,1920272819,2043241581,2146821991,2251485808,2516281087,2757196886,2759419118,2906527654,3054062185,3201918500,3481696993,3676972061,3805767023,3632143704,3597519762,3550019929,3443185262,3415629198,,,,,,
Bolivia,BOL,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16494243221,17950088504,18661437492,19919167154,21294050433,22757632966,24185044377,25820927972,27424789531,27939513460,29280426644,30426509156,31676017447,33139065568,35451463293,38172044837,41213738857,44252540610,47887101477,49871994703,52535187415,56423688732,60451415414,65692669036,70590561009,74810796245,78853625517,83723411343,89227541281,
Brazil,BRA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.99956E+11,1.0494E+12,1.06831E+12,1.14464E+12,1.23144E+12,1.31279E+12,1.36634E+12,1.43709E+12,1.45818E+12,1.48615E+12,1.58604E+12,1.64336E+12,1.72033E+12,1.77227E+12,1.92481E+12,2.04832E+12,2.19392E+12,2.3896E+12,2.56018E+12,2.57645E+12,2.80269E+12,2.97496E+12,3.09026E+12,3.23898E+12,3.31689E+12,3.23349E+12,3.1608E+12,3.25514E+12,3.36576E+12,
Barbados,BRB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2391403610,2375532617,2259963063,2341775296,2482303651,2585629964,2737404617,2916602740,3059751879,3114043449,3325427239,3317576227,3397062705,3534925302,3681164943,3946723145,4296652987,4489914586,4582888827,4434363566,4497943022,4622083018,4723971973,4807308437,4899143408,4996301718,5152318373,5302755008,,
Brunei Darussalam,BRN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14219219969,15162535120,16246039709,16681607298,17573730028,18745801085,19638485783,19683232219,19793601111,20692236087,21757595388,22844964797,24104889135,25265534701,26076585575,26993052436,29032919656,29858910045,29849261767,29546101473,30667228517,32480415591,33405522010,33269086249,33101972265,33266312258,32800933005,33868533039,34650499690,
Bhutan,BTN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810706506.5,834704118,893005278.5,932321706.3,999380024.4,1092515056,1174432968,1258885216,1348343046,1477016074,1614725441,1785517258,2008337181,2202418131,2395071665,2645580967,2912330833,3526647456,3766679431,4048062631,4575638487,5039821055,5396984432,5609356380,6043859606,6514371599,7113912041,7584701339,7933416432,
Botswana,BWA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7099010655,7886482617,8301505298,8661025675,9166895788,10017093964,10795179387,11895624093,12082882323,13442281512,14015944949,14359264870,15471720121,16488041521,17390082540,18748860966,20931825267,23273129383,25207603789,23456104459,25761527575,27890347804,29691918902,33640174365,35698845804,35467952449,37398956044,39217883524,41888348038,
Central African Republic,CAF,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1789778510,1840080718,1761112390,1808882557,1938036059,2121138792,2073576389,2221126252,2351696578,2471533271,2463881190,2630343346,2768581312,2667787609,2903846565,3021494256,3261451446,3503372377,3644881234,3988049550,4221351630,4490299877,4807698241,3129093439,3192031303,3373368754,3580984631,3811699727,4066847512,
Canada,CAN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.58639E+11,5.65255E+11,5.83241E+11,6.12913E+11,6.5413E+11,6.85729E+11,7.09535E+11,7.52659E+11,7.90677E+11,8.43508E+11,8.9802E+11,9.33967E+11,9.67559E+11,1.01973E+12,1.0795E+12,1.16758E+12,1.23767E+12,1.29714E+12,1.33906E+12,1.30471E+12,1.36062E+12,1.42747E+12,1.46457E+12,1.55027E+12,1.61756E+12,1.5912E+12,1.62535E+12,1.70728E+12,1.78279E+12,
Central Europe and the Baltics,CEB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.84568E+11,7.33675E+11,7.3487E+11,7.64233E+11,8.12681E+11,8.74488E+11,9.17146E+11,9.4995E+11,9.91524E+11,1.02259E+12,1.08471E+12,1.16113E+12,1.24175E+12,1.31157E+12,1.4296E+12,1.5145E+12,1.67887E+12,1.86664E+12,2.06295E+12,2.06103E+12,2.16402E+12,2.30576E+12,2.38489E+12,2.48484E+12,2.58426E+12,2.68845E+12,2.81503E+12,3.04291E+12,3.19661E+12,
Switzerland,CHE,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85312E+11,1.89825E+11,1.94066E+11,1.98413E+11,2.05223E+11,2.10534E+11,2.15989E+11,2.25516E+11,2.34051E+11,2.41567E+11,2.5687E+11,2.659E+11,2.74769E+11,2.76778E+11,2.89452E+11,3.01741E+11,3.37573E+11,3.75641E+11,4.02151E+11,4.00891E+11,4.1525E+11,4.44549E+11,4.62615E+11,4.86239E+11,5.06895E+11,5.29568E+11,5.37701E+11,5.60354E+11,5.79941E+11,
Channel Islands,CHI,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59884081816,66835784909,77143487637,85334370927,93055582546,1.05726E+11,1.16868E+11,1.27713E+11,1.34736E+11,1.36118E+11,1.46574E+11,1.54737E+11,1.62068E+11,1.71831E+11,1.89179E+11,2.06274E+11,2.57648E+11,2.80052E+11,2.75716E+11,2.72874E+11,3.09886E+11,3.50575E+11,3.74242E+11,3.94292E+11,4.04667E+11,4.07689E+11,4.16517E+11,4.47887E+11,4.72397E+11,
China,CHN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12116E+12,1.2668E+12,1.47986E+12,1.725E+12,1.9918E+12,2.25622E+12,2.52564E+12,2.80635E+12,3.06036E+12,3.34259E+12,3.70749E+12,4.10479E+12,4.55044E+12,5.1001E+12,5.76697E+12,6.62427E+12,7.6928E+12,9.02365E+12,1.00873E+13,1.11196E+13,1.24457E+13,1.39191E+13,1.53011E+13,1.67791E+13,1.83445E+13,1.9821E+13,2.13876E+13,2.32668E+13,2.53617E+13,
Cote d'Ivoire,CIV,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25425059803,26295630334,26829109365,27411900578,28224364027,30869548837,33864476854,35738028259,37922227855,39092009045,39139246187,40046282350,40001327484,40190258307,41780645868,43823638218,45834231465,47896189537,50069447928,52091548227,53761811464,52476906029,59209529183,65604358999,72723969105,80001283606,87323360876,95836748084,1.05282E+11,
Cameroon,CMR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22962697170,22835106958,22631476932,21330004245,22248190166,23502849953,24976941700,26736797081,28255042328,29893209965,31647428288,33754298940,35741073332,38067498261,41743191499,43913230976,46806458405,50419995349,53193999851,54777997801,57312925778,60926183399,64915780367,69624785206,75116280438,80210094836,84856536734,89538347743,95091741256,
"Congo, Dem. Rep.",COD,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31151386976,29492863704,26997653662,23914821336,23472899887,24132842320,24323280274,23352899266,23232184908,22561241765,21471546215,21481677905,22464712751,24158215792,26480302861,28980361193,31446070587,34312035164,37157232992,38509451426,41727321542,45527503793,49689019931,54849584189,61179964999,66110756415,68437288037,72337232184,78227720766,
"Congo, Rep.",COG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8140747524,8617642984,9044249087,9167828407,8849246830,9394866716,9977355258,10085989172,10580721074,10456325883,11499952311,12199084376,12959832379,13307863800,14141261058,15712678818,17197670847,17380233272,18705606803,20255970883,22285382189,23529134689,24891635828,26199940824,28505555553,29572839901,29059126467,28693520065,29641549869,
Colombia,COL,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.66028E+11,1.75078E+11,1.86311E+11,2.00996E+11,2.17225E+11,2.33318E+11,2.42475E+11,2.55117E+11,2.59458E+11,2.52139E+11,2.65315E+11,2.75684E+11,2.87057E+11,3.03844E+11,3.28665E+11,3.54853E+11,3.90377E+11,4.28317E+11,4.5087E+11,4.59784E+11,4.85364E+11,5.31984E+11,5.63349E+11,5.99414E+11,6.39633E+11,6.65582E+11,6.86905E+11,7.09421E+11,7.44703E+11,
Comoros,COM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,689235818.3,674097796.1,748277563,789032976.3,763357184,807500127.1,811664330.2,858935988.3,879743465.2,909619525.2,1030834100,1078020562,1120532120,1165353828,1219700724,1293381359,1367792982,1415772597,1501043284,1560887766,1639079857,1741922162,1832144991,1948188639,2026732349,2070936773,2139394723,2239088441,2353695077,
Cabo Verde,CPV,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367595865.2,385363197.2,437255490.8,486595032.9,592320662.6,690684165.8,783134409.8,885212395.3,1007227334,1136439341,1327812064,1387218768,1483154808,1573789087,1780959717,1963378423,2184289119,2583238471,2808626380,2794084406,2868103402,3044224922,3136176249,3216832485,3297725124,3366547730,3563516895,3776982885,4075378585,
Costa Rica,CRI,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15676901532,16574252013,18510961740,20292590101,21655940843,23021293446,23732999497,25485752243,27566810723,29067573062,30856487585,32633961885,34241375059,36361464139,38959685914,41728313582,46102678508,51207898944,54631234447,54513450980,57879556279,61633610782,65828866818,68503995734,72253723775,75678484327,79754486839,84031346801,88215632572,
Caribbean small states,CSS,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35528916699,37526392114,39561795114,41804828171,43907666664,46095390861,48525704731,50940129185,53012055464,55987792800,59437171946,62108171411,65599122032,71291560062,76434272879,81796646188,90494510562,96140535700,99560379490,96819713183,99520880910,1.02751E+11,1.06054E+11,1.0945E+11,1.1188E+11,1.14448E+11,1.12949E+11,1.15234E+11,1.19727E+11,
Cuba,CUB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3115175200,3161354896,3224111266,3293450054,3389167123,3518377031,3684150509,3876558560,4038433510,4047600335,4098135225,4209371340,4284140996,4324706364,4356341928,4415196869,4419442806,4425097204,,
Cayman Islands,CYM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2427211558,2545972363,2628915736,2702698532,2792121482,2900853332,3005761013,3300848942,3557173464,3768251198,3827818900,3579277636,3522652381,3638279468,3753656132,3868394045,4046210249,4205337980,4382957430,4602013095,,
Cyprus,CYP,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7721176551,8041316992,8997680854,9275337204,10032331306,11110062858,11439242817,11925397439,12737756601,13501969376,14776742191,16045380453,16716234007,17420975646,18870118140,20504246716,22517211528,25199886562,27393788847,27382780694,27563187564,28242719959,27572497363,26393311452,25907990609,26767837474,28682597840,31076457366,32864031110,
Czech Republic,CZE,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.30819E+11,1.19534E+11,1.21639E+11,1.24598E+11,1.30961E+11,1.42026E+11,1.50432E+11,1.51786E+11,1.53452E+11,1.57591E+11,1.66038E+11,1.79347E+11,1.85474E+11,1.98029E+11,2.12091E+11,2.24201E+11,2.43445E+11,2.69056E+11,2.89157E+11,2.88245E+11,2.898E+11,3.0226E+11,3.05309E+11,3.20535E+11,3.39583E+11,3.55312E+11,3.72257E+11,4.02796E+11,4.22303E+11,
